DelayNafromNadueNadate,NumNaofNaDelayedNaPayment,ChangedNaCreditNaLimit,NumNaCreditNaInquiries,CreditNaMix,OutstandingNaDebt,CreditNaUtilizationNaRatio,CreditNaHistoryNaAge,PaymentNaofNaMinNaAmount,TotalNaEMINaperNamonth,AmountNainvestedNamonthly,MonthlyNaBalance,CreditNaScore
3,7,11.27,4.0,Na,809.98,26.822.619.623.699.000,22 Years and 1 Months,No,4.957.494.921.489.410,8.041.529.543.900.250,31.249.408.867.943.600,Good
1,0,11.27,4.0,Good,809.98,3.194.496.005.538.420,NA,No,4.957.494.921.489.410,11.828.022.162.236.700,28.462.916.249.607.100,Good
3,7,Na,4.0,Good,809.98,2.860.935.202.206.990,22 Years and 3 Months,No,4.957.494.921.489.410,81.699.521.264.648,3.312.098.628.537.910,Good
5,4,6.27,4.0,Good,809.98,31.377.861.869.582.300,22 Years and 4 Months,No,4.957.494.921.489.410,1.994.580.743.910.710,22.345.130.972.736.700,Good
6,0,11.27,4.0,Good,809.98,24.797.346.908.844.900,22 Years and 5 Months,No,4.957.494.921.489.410,41.420.153.086.217.300,34.148.923.103.222.100,Good
8,4,9.27,4.0,Good,809.98,2.726.225.871.052.010,22 Years and 6 Months,No,4.957.494.921.489.410,62.430.172.331.195.200,3.404.792.117.872.430,Good
3,8,11.27,4.0,Good,809.98,2.253.759.303.178.380,22 Years and 7 Months,No,4.957.494.921.489.410,1.783.440.674.122.340,2.445.653.167.062.040,Good
7,1,7.42,2.0,Good,605.03,38.550.848.433.956.300,26 Years and 8 Months,No,18.816.214.573.128.800,4.039.123.782.853.100,4.845.912.142.650.060,Good
3,3,5.42,2.0,Good,605.03,3.918.265.565.546.880,26 Years and 10 Months,No,18.816.214.573.128.800,9.930.622.796.053.300,4.656.762.241.330.040,Good
3,1,6.42,2.0,Good,605.03,3.497.789.474.709.240,26 Years and 11 Months,No,18.816.214.573.128.800,13.011.542.024.292.300,4.448.670.318.506.140,Good
3,0,5.42,2.0,Good,605.03,3.338.101.020.065.060,27 Years and 0 Months,No,18.816.214.573.128.800,43.477.190.144.355.700,481.505.261.949.182,Good
3,4,5.42,2.0,Good,605.03,31.131.701.611.553.300,27 Years and 1 Months,Yes,18.816.214.573.128.800,7.010.177.420.755.670,4.648.806.778.859.800,Good
3,4,5.42,2.0,Good,605.03,32.933.856.293.622.200,27 Years and 2 Months,No,18.816.214.573.128.800,21.890.434.353.388.700,35.607.810.855.965.000,Good
5,8,7.1,3.0,Good,1303.01,28.616.734.823.006.800,17 Years and 9 Months,No,2.469.923.194.537.420,168.413.702.679.309,10.433.159.778.669.400,Good
13,6,7.1,3.0,Good,1303.01,4.170.257.342.393.900,17 Years and 10 Months,No,2.469.923.194.537.420,23.286.038.375.993.500,9.988.692.967.863.220,Good
8,7,11.1,,Good,1303.01,26.519.815.391.546.400,17 Years and 11 Months,No,2.469.923.194.537.420,NaNa10000NaNa,715.741.367.403.555,Good
8,5,9.1,3.0,Na,1303.01,3.950.164.810.812.730,NA,No,2.469.923.194.537.420,8.252.162.699.393.920,4.265.134.106.068.650,Good
10,5,7.1,3.0,Good,1303.01,3.137.614.957.421.200,18 Years and 1 Months,No,2.469.923.194.537.420,4.309.475.278.803.290,8.107.821.526.659.280,Good
8,6,7.1,3.0,Good,1303.01,39.783.993.458.021.100,18 Years and 2 Months,No,2.469.923.194.537.420,25.780.809.942.568.900,9.639.215.811.205.680,Good
12,10,10.14,2.0,Good,548.2,3.996.268.501.363.900,NA,No,15015.0,9.867.440.994.166.120,7.401.960.900.583.380,Good
8,7,10.14,2.0,Good,548.2,4.276.986.440.325.710,32 Years and 0 Months,Yes,0.0,17.293.921.446.875.600,705.931.285.531.244,Good
8,7,10.14,2.0,Good,548.2,40.712.186.529.929.500,NA,No,0.0,15.005.973.429.800.800,6.988.107.657.019.920,Good
8,7,10.14,2.0,Good,548.2,30.201.657.705.809.200,32 Years and 2 Months,No,0.0,6.182.023.912.505.830,27.066.810.874.941.600,Good
11,7,10.14,2.0,Na,548.2,26.333.310.426.871.000,32 Years and 3 Months,No,0.0,17.795.183.568.608.700,6.909.186.643.139.120,Good
7,7,10.14,2.0,Good,548.2,352.754.365.244.368,NA,No,15515.0,23.579.032.503.182.000,6.330.801.749.681.790,Good
8,7,10.14,,Good,548.2,3.158.098.966.831.760,32 Years and 6 Months,No,0.0,4.263.559.025.189.570,7.962.349.097.481.040,Good
0,3,9.34,2.0,Good,352.16,32.200.508.995.391.900,30 Years and 7 Months,Yes,1.376.446.054.014.210,3.781.712.535.207.530,858.462.474.411.158,Good
1,2,15.34,4.0,Good,352.16,3.198.371.000.755.860,30 Years and 8 Months,No,1.376.446.054.014.210,6.988.732.707.169.380,5.477.604.572.149.730,Good
0,3,9.34,4.0,Good,352.16,31.803.134.495.092.200,30 Years and 9 Months,Yes,9.112.201.793.459.370,18.806.432.109.973.800,10.385.694.068.321.700,Good
0,2,8.34,4.0,Good,352.16,4.264.578.489.930.630,30 Years and 10 Months,No,23834.0,33.743.495.631.738.300,8.991.987.716.145.280,Good
0,4,9.34,4.0,Good,352.16,40.902.517.150.451.600,30 Years and 11 Months,No,32662.0,2.633.789.089.320.550,9.632.548.189.998.560,Good
0,2,9.34,4.0,Good,352.16,26.947.565.152.239.800,31 Years and 1 Months,No,9.112.201.793.459.370,9.303.918.977.796.660,32.624.183.015.224.500,Good
0,2,9.34,4.0,Good,352.16,29.187.912.654.166.600,31 Years and 2 Months,No,9.112.201.793.459.370,87.052.238.171.816,3.961.113.462.137.510,Good
30,11,17.13,5.0,Standard,1704.18,24.448.062.746.255.400,NA,Yes,7.047.833.267.207.260,1.624.410.091.967.750,29.819.215.813.115.200,Poor
30,14,17.13,5.0,Na,1704.18,35.171.160.021.263.000,14 Years and 8 Months,Yes,7.047.833.267.207.260,384.369.827.577.036,39.219.618.457.022.300,Poor
31,14,17.13,5.0,Standard,1704.18,3.511.155.247.196.590,14 Years and 9 Months,Yes,7.047.833.267.207.260,1.997.207.654.954.970,2.609.124.018.324.290,Poor
34,14,21.13,5.0,Na,1704.18,2.976.215.930.632.110,14 Years and 10 Months,Yes,7.047.833.267.207.260,22.055.219.192.916.700,2.600.809.753.987.600,Poor
30,14,17.13,9.0,Na,1704.18,3.382.348.834.412.090,15 Years and 2 Months,Yes,7.047.833.267.207.260,2.932.636.371.091.450,4.113.068.036.170.120,Poor
13,11,8.24,3.0,Good,1377.74,3.366.455.429.077.260,21 Years and 4 Months,No,22.689.279.192.154.300,21.519.351.594.560.400,8.023.004.421.328.520,Good
14,8,0.0,3.0,Good,1377.74,27.626.325.486.769.600,21 Years and 5 Months,Yes,22.689.279.192.154.300,21.223.560.220.847.800,7.852.583.558.699.780,Good
11,11,0.0,3.0,Good,1377.74,3.514.156.730.186.040,21 Years and 6 Months,Yes,22.689.279.192.154.300,4.703.857.956.796.370,5.471.081.623.988.190,Good
11,14,8.24,8.0,Good,1377.74,304.590.318.418.306,21 Years and 7 Months,No,22.689.279.192.154.300,22.508.204.945.419,772.411.908.624.267,Good
13,14,8.24,8.0,Na,1377.74,26.114.213.868.949.600,21 Years and 9 Months,Yes,22.689.279.192.154.300,5.463.805.705.230.690,49.111.338.755.538.700,Good
11,0,8.24,8.0,Good,1377.74,3.176.751.564.697.100,21 Years and 10 Months,No,22.689.279.192.154.300,2.154.682.977.385.680,7.920.256.603.398.880,Good
4,0,5.76,2.0,Good,421.43,2.951.935.255.713.930,NA,Yes,46.616.129.073.342.000,154.352.781.097.101,34.155.442.316.289.000,Good
2,0,-12.400.000.000.000.000,2.0,Good,421.43,2.822.048.095.698.550,26 Years and 6 Months,No,46.616.129.073.342.000,2.987.444.693.112.260,2.271.627.349.487.640,Good
2,0,17.599.999.999.999.900,5.0,Good,421.43,3.104.641.790.511.990,26 Years and 7 Months,No,46.616.129.073.342.000,1.408.206.959.818.370,3.750.865.082.781.540,Good
1,0,5.76,5.0,Na,421.43,30.168.030.403.669.400,26 Years and 8 Months,No,46.616.129.073.342.000,2.336.055.264.233.420,2.923.016.778.366.480,Good
1,0,5.76,5.0,Na,421.43,2.518.923.173.183.330,26 Years and 9 Months,No,16415.0,18.470.057.162.057.600,34.120.663.263.941.400,Good
1,0,5.76,5.0,Good,421.43,25.502.468.550.245.600,NA,No,46.616.129.073.342.000,13.771.742.489.512.600,37.818.977.936.486.500,Good
1,2,5.76,5.0,Good,421.43,22.762.202.172.732.500,26 Years and 11 Months,No,46.616.129.073.342.000,1.883.949.004.901.680,33.751.230.376.982.200,Good
2,2,5.76,5.0,Na,421.43,3.756.505.276.771.990,27 Years and 0 Months,No,46.616.129.073.342.000,2.526.448.271.968.880,2.732.623.770.631.020,Good
4,2,3.51,3.0,Good,950.36,41.036.168.282.350.500,25 Years and 6 Months,Yes,13.517.337.097.171.700,157.174.788.304.235,6.743.205.073.907.140,Good
4,2,3.51,3.0,Good,950.36,34.702.836.927.947.000,25 Years and 9 Months,No,13.517.337.097.171.700,27.961.862.207.772.400,5.618.766.736.172.240,Good
4,0,3.51,3.0,Good,950.36,3.832.363.895.436.970,25 Years and 10 Months,No,13.517.337.097.171.700,6.861.262.165.951.830,19.536.907.909.976.500,Good
